"GCM","scenario","proj.year","BAFA","CDF","CMA","CWH","ESSF","ICH","IDF","IMA","MH","MS","SWB","SBS"
"obs","obs",1975,855,4029,31555,50377,2473,181,115,800,21911,870,105,NA
"obs","obs",2005,514,4055,22950,58781,3447,82,265,321,21871,982,NA,NA
"ensemble","ssp245",2001,261,4924,25730,58505,1507,467,89,433,20674,658,22,NA
"ACCESS-ESM1-5","ssp245",2001,235,5777,20339,61304,2104,524,162,344,21748,698,10,NA
"CNRM-ESM2-1","ssp245",2001,181,4972,26009,56606,1505,505,91,790,21974,541,97,NA
"EC-Earth3","ssp245",2001,6,3578,23766,60717,2189,472,82,1031,20685,714,31,NA
"GFDL-ESM4","ssp245",2001,508,3478,27367,56609,1244,385,45,924,21988,519,192,12
"GISS-E2-1-G","ssp245",2001,481,5290,23186,57507,1375,519,51,297,23385,608,571,NA
"MIROC6","ssp245",2001,532,6208,22317,59333,1371,341,139,146,21950,829,98,NA
"MPI-ESM1-2-HR","ssp245",2001,229,3004,27224,56914,2392,251,189,436,21753,862,1,NA
"MRI-ESM2-0","ssp245",2001,110,1894,25234,62071,1975,318,56,691,20082,821,19,NA
"ensemble","ssp245",2021,47,1243,20906,69432,599,510,51,200,19863,410,10,NA
"ACCESS-ESM1-5","ssp245",2021,35,1269,13212,76148,1288,642,120,88,19911,527,NA,NA
"CNRM-ESM2-1","ssp245",2021,15,1052,21998,66797,926,520,66,237,21065,583,12,NA
"EC-Earth3","ssp245",2021,NA,477,19107,70121,1954,563,23,565,19990,467,4,NA
"GFDL-ESM4","ssp245",2021,95,3485,21568,65072,1057,481,105,371,20414,555,68,NA
"GISS-E2-1-G","ssp245",2021,86,1315,16914,71319,269,721,10,65,22345,63,164,NA
"MIROC6","ssp245",2021,35,1808,20557,69738,436,356,37,148,19819,308,29,NA
"MPI-ESM1-2-HR","ssp245",2021,91,1656,22437,64636,1754,648,96,352,21078,515,5,NA
"MRI-ESM2-0","ssp245",2021,NA,203,18285,71814,1011,881,23,266,20432,348,8,NA
"ensemble","ssp245",2041,1,194,17596,76887,112,338,7,16,17991,123,6,NA
"ACCESS-ESM1-5","ssp245",2041,1,152,7954,85630,604,969,45,6,16750,132,NA,NA
"CNRM-ESM2-1","ssp245",2041,NA,439,17565,73440,366,751,3,61,20463,164,19,NA
"EC-Earth3","ssp245",2041,NA,205,11935,79804,2823,1386,8,252,16761,97,NA,NA
"GFDL-ESM4","ssp245",2041,2,153,19583,73275,317,64,33,35,18811,535,NA,NA
"GISS-E2-1-G","ssp245",2041,1,236,13426,78148,147,333,NA,3,20765,11,201,NA
"MIROC6","ssp245",2041,NA,256,17214,75996,186,198,7,29,19269,102,13,NA
"MPI-ESM1-2-HR","ssp245",2041,24,252,20440,70187,317,370,40,7,21298,328,8,NA
"MRI-ESM2-0","ssp245",2041,NA,2,12233,81378,838,1060,NA,303,17309,NA,148,NA
"ensemble","ssp245",2061,NA,74,14989,80711,35,299,NA,1,17108,52,NA,NA
"ACCESS-ESM1-5","ssp245",2061,NA,90,3522,91698,294,1363,NA,NA,14548,6,NA,NA
"CNRM-ESM2-1","ssp245",2061,NA,70,14743,79469,364,625,NA,30,17888,82,NA,NA
"EC-Earth3","ssp245",2061,NA,74,8987,85814,1426,1503,NA,38,15420,NA,NA,NA
"GFDL-ESM4","ssp245",2061,1,199,18187,74105,258,230,36,11,19755,463,NA,NA
"GISS-E2-1-G","ssp245",2061,NA,48,11689,81613,49,206,NA,NA,19570,1,95,NA
"MIROC6","ssp245",2061,NA,125,15135,78081,141,56,NA,1,19503,17,2,NA
"MPI-ESM1-2-HR","ssp245",2061,1,48,17368,73866,258,344,7,1,21219,159,NA,NA
"MRI-ESM2-0","ssp245",2061,NA,24,11619,82977,560,911,NA,74,17014,NA,92,NA
"ensemble","ssp245",2081,NA,56,10823,85062,9,181,NA,NA,16532,3,NA,NA
"ACCESS-ESM1-5","ssp245",2081,NA,90,2099,94469,158,909,24,NA,12081,40,NA,NA
"CNRM-ESM2-1","ssp245",2081,NA,39,11044,84069,170,774,NA,6,17089,20,NA,NA
"EC-Earth3","ssp245",2081,NA,85,5809,90547,710,1342,NA,3,13781,NA,NA,NA
"GFDL-ESM4","ssp245",2081,NA,101,11732,81070,7,200,NA,NA,18261,NA,52,NA
"GISS-E2-1-G","ssp245",2081,NA,34,8736,84897,27,138,NA,NA,19305,NA,134,NA
"MIROC6","ssp245",2081,NA,178,10183,82065,56,34,NA,NA,17975,5,NA,NA
"MPI-ESM1-2-HR","ssp245",2081,33,229,13969,77872,1243,603,36,117,19077,91,NA,NA
"MRI-ESM2-0","ssp245",2081,NA,10,9837,86627,361,882,NA,4,15438,NA,20,NA
